id,url,headline,author,date
0,https://www.theverge.com/2023/3/31/23664814/gm-ev-restrict-apple-carplay-android-auto-google,GM is cutting off access to Apple CarPlay and Android Auto for its future EVs,Andrew J. Hawkins,Two hours ago
1,https://www.theverge.com/2023/3/31/23664849/twitter-releases-algorithm-musk-open-source,"Twitter takes its algorithm ‘open-source,’ as Elon Musk promised",Mitchell Clark,27 minutes ago
2,https://www.theverge.com/2023/3/31/23664113/toys-hasbro-ceo-chris-cocks-magic-dungeons-and-dragons-transformers-business,"The surprisingly complex business of toys, with Hasbro CEO Chris Cocks",Nilay Patel,3:03 PM UTC
3,https://www.theverge.com/2023/3/31/23663214/best-ways-to-play-tetris-2023,The best ways to play Tetris in 2023,Andrew Webster,1:30 PM UTC
4,https://www.theverge.com/2023/3/30/23660652/asus-rog-flow-z13-acronym-gaming-laptop-tablet-review,"Y’all, this laptop is too much",Monica Chin,12:00 AM UTC
5,https://www.theverge.com/2023/3/31/23655322/fitbit-charge-3-button-of-the-month,Fitbit’s attempt to disappear the button proved why they matter,Victoria Song,12:00 PM UTC
